Number,"0-10
 %3
 HW1
 ","0-10
 %3
 Q1
 ","0-10
 %3
 Q2
 ","0-10
 %3
 Q3
 ","0-10
 %3
 Q4
 ","0-10
 %3
 Q5
 ","0-100
 %15
 Midterm
 ","0-100
 %40
 Proj
 ","0-100
 %25
 Final Exam
 ",Total Grade,Dataset,Manual Category ,KNN results,Match result successful,Match result failing,Distance to student 3,Distance to student 4,Distance to student 5,Distance to student 13,Distance to student 14,Distance to student 15,Distance to student 16,Distance to student 21,Distance to student 22,Distance to student 23,Distance to student 30,Distance to student 31,Distance to student 32,Distance to student 36,Distance to student 37,Distance to student 38,Distance to student 39,Distance to student 40,Distance to student 41,Distance to student 42
1,10,4,10,5,8,8,60,78,43,64.45,Train,Successful,,,,89.06739022,4.242640687,39.8246155,44.38468204,34.0147027,21.63330765,23.53720459,32.24903099,13.92838828,89.06739022,31.144823,42.42640687,80.45495634,25.07987241,13.60147051,44.41846463,31.6227766,14.14213562,18.68154169,38.01315562
2,10,,,,,,,0,,3,Test,Failing,Failing,,TP,,,,,,,,,,,,,,,,,,,,
3,10,4,9,10,9,9,43,75,40,61.75,Test,Successful,successful ,TP,TN,,,,,,,,,,,,,,,,,,,,
4,10,,,10,,,50,59,78,56.6,Test,Successful,successful ,TP,TN,,,,,,,,,,,,,,,,,,,,
5,10,,,,,,18,0,,5.7,Train,Failing,,,,0,85,97.80081799,64.35060217,55.22680509,81.39410298,75.69015788,56.82429058,75.29276194,0,61.7170965,60.80296045,10,82,88.40814442,44.72135955,91.43850392,85.0940656,76.83749085,59.46427499
6,10,,9,6,,,38,10,,17.2,Train,Failing,,,,10,76.32168761,92.11405973,59.50630219,47.01063709,74.33034374,66.09841148,48.25971405,66.85057965,10,54.4885309,55.47071299,0,72.277244,80.72174428,36.05551275,85.21150157,75.76938696,69.3108938,53.25410782
7,10,8,10,6,10,7,44,60,49,58.15,Train,Successful,,,,77.46612163,17.49285568,29.01723626,25.49509757,23.85372088,6,31.78049716,24.16609195,12.08304597,77.46612163,15.8113883,24,70.00714249,36.89173349,11.18033989,35.22782991,20,28.28427125,1,20.61552813
8,2,4,,,,,37,25,,17.35,Train,Failing,,,,25,64.03124237,85.08818954,54.91812087,36.40054945,65.19202405,52,36.79673899,55.1724569,25,45.65084884,50.21951812,15,57.87054518,70.29224708,25,77.36924454,62.17716623,59.40538696,46.4865572
9,10,10,10,6,10,9,45,60,68,64.25,Train,Successful,,,,90.68627239,31.76476035,10.04987562,28.65309756,41.10960958,13,49.72926704,42.20189569,30.41381265,90.68627239,30.87069808,30.61045573,84.40379138,53.85164807,17.20465053,52,1,43.829214,20,31.2409987
10,10,,10,8,10,10,62,70,73,69.95,Train,Successful,,,,101.1385189,33.37663854,12.08304597,39.8246155,49.64876635,20.59126028,53.08483776,50.15974482,35.35533906,101.1385189,40.22437072,41.61730409,94.49338601,55.90169944,19,60.90155991,10.77032961,45.12205669,26.92582404,41.72529209
