Number,0-10 %3 HW1,0-10 %3 Q1,0-10 %3 Q2,0-10 %3 Q3,0-10 %3 Q4,0-10 %3 Q5,0-100 %15 Midterm,0-100 %40 Proj,0-100 %25 Final Exam,Total Grade,Dataset,Manual Category,KNN results,Match result successful,Match result failing,Distance to student 3,Distance to student 4,Distance to student 5,Distance to student 13,Distance to student 14,Distance to student 15,Distance to student 16,Distance to student 21,Distance to student 22,Distance to student 23,Distance to student 30,Distance to student 31,Distance to student 32,Distance to student 36,Distance to student 37,Distance to student 38,Distance to student 39,Distance to student 40,Distance to student 41,Distance to student 42
1,10.0,4.0,10.0,5.0,8.0,8.0,60.0,78,43.0,64.45,train,Successful,,,,89.06739022,4.242640687,39.8246155,44.38468204,34.0147027,21.63330765,23.53720459,32.24903099,13.92838828,89.06739022,31.144823,42.42640687,80.45495634,25.07987241,13.60147051,44.41846463,31.6227766,14.14213562,18.68154169,38.01315562
2,10.0,,,,,,,0,,3.0,test,Failing,Failing,,TP,,,,,,,,,,,,,,,,,,,,
3,10.0,4.0,9.0,10.0,9.0,9.0,43.0,75,40.0,61.75,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
4,10.0,,,10.0,,,50.0,59,78.0,56.6,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
5,10.0,,,,,,18.0,0,,5.7,train,Failing,,,,0.0,85.0,97.80081799,64.35060217,55.22680509,81.39410298,75.69015788,56.82429058,75.29276194,0.0,61.7170965,60.80296045,10.0,82.0,88.40814442,44.72135955,91.43850392,85.0940656,76.83749085,59.46427499
6,10.0,,9.0,6.0,,,38.0,10,,17.2,train,Failing,,,,10.0,76.32168761,92.11405973,59.50630219,47.01063709,74.33034374,66.09841148,48.25971405,66.85057965,10.0,54.4885309,55.47071299,0.0,72.277244,80.72174428,36.05551275,85.21150157,75.76938696,69.3108938,53.25410782
7,10.0,8.0,10.0,6.0,10.0,7.0,44.0,60,49.0,58.15,train,Successful,,,,77.46612163,17.49285568,29.01723626,25.49509757,23.85372088,6.0,31.78049716,24.16609195,12.08304597,77.46612163,15.8113883,24.0,70.00714249,36.89173349,11.18033989,35.22782991,20.0,28.28427125,1.0,20.61552813
8,2.0,4.0,,,,,37.0,25,,17.35,train,Failing,,,,25.0,64.03124237,85.08818954,54.91812087,36.40054945,65.19202405,52.0,36.79673899,55.1724569,25.0,45.65084884,50.21951812,15.0,57.87054518,70.29224708,25.0,77.36924454,62.17716623,59.40538696,46.4865572
9,10.0,10.0,10.0,6.0,10.0,9.0,45.0,60,68.0,64.25,train,Successful,,,,90.68627239,31.76476035,10.04987562,28.65309756,41.10960958,13.0,49.72926704,42.20189569,30.41381265,90.68627239,30.87069808,30.61045573,84.40379138,53.85164807,17.20465053,52.0,1.0,43.829214,20.0,31.2409987
10,10.0,,10.0,8.0,10.0,10.0,62.0,70,73.0,69.95,train,Successful,,,,101.1385189,33.37663854,12.08304597,39.8246155,49.64876635,20.59126028,53.08483776,50.15974482,35.35533906,101.1385189,40.22437072,41.61730409,94.49338601,55.90169944,19.0,60.90155991,10.77032961,45.12205669,26.92582404,41.72529209
11,10.0,,,,,,37.0,30,,20.55,train,Failing,,,,30.0,60.20797289,83.21658489,54.23098745,33.61547263,62.64982043,47.42362281,33.60059523,51.66236541,30.0,43.46262762,49.36598019,20.0,53.14132102,67.20119047,22.36067977,75.23961722,57.80138407,56.60388679,45.12205669
12,10.0,8.0,10.0,,8.0,,43.0,35,54.0,44.75,test,Failing,Successful,False,True,,,,,,,,,,,,,,,,,,,,
13,10.0,,,,10.0,,23.0,47,29.0,35.5,test,Failing,Failing,True,False,,,,,,,,,,,,,,,,,,,,
14,10.0,10.0,10.0,7.0,9.0,10.0,66.0,60,55.0,64.45,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
15,10.0,7.0,9.0,6.0,8.0,8.0,53.0,73,20.0,56.55,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
16,,4.0,,6.0,9.0,7.0,34.0,10,,16.9,train,Failing,,,,10.0,76.32168761,92.11405973,59.50630219,47.01063709,74.33034374,66.09841148,48.25971405,66.85057965,10.0,54.4885309,55.47071299,0.0,72.277244,80.72174428,36.05551275,85.21150157,75.76938696,69.3108938,53.25410782
17,10.0,,5.0,,,,23.0,38,,23.15,train,Failing,,,,38.0,54.4885309,80.77747211,54.08326913,30.3644529,59.23681288,40.31128874,29.54657341,46.61544808,38.0,41.0,49.04079934,28.0,45.69463864,62.76941931,20.09975124,72.42237223,51.03920062,52.80151513,44.04543109
18,10.0,4.0,10.0,6.0,,8.0,37.0,73,44.0,57.15,train,Successful,,,,85.23496935,4.472135955,36.76955262,39.29376541,30.01666204,17.02938637,24.0,28.60069929,10.0,85.23496935,26.30589288,37.33630941,76.84399781,26.92582404,10.44030651,40.80441153,28.17800561,16.55294536,13.60147051,33.0
19,10.0,4.0,10.0,7.0,10.0,9.0,47.0,85,47.0,67.8,train,Successful,,,,97.12878049,12.20655562,40.45985665,50.48762225,42.04759208,26.2488095,29.54657341,40.31128874,21.9317122,97.12878049,38.63935817,49.04079934,88.50988645,29.42787794,16.55294536,52.47856705,33.30165161,18.68154169,25.01999201,45.09988914
20,10.0,4.0,,6.0,7.0,7.0,34.0,50,27.0,42.05,test,Failing,Successful,False,True,,,,,,,,,,,,,,,,,,,,
21,10.0,4.0,10.0,10.0,2.0,7.0,36.0,65,38.0,53.8,test,Failing,Successful,False,True,,,,,,,,,,,,,,,,,,,,
22,7.0,,,,,,,0,,2.1,test,Failing,Failing ,,TP,,,,,,,,,,,,,,,,,,,,
23,10.0,8.0,10.0,,5.0,,53.0,50,54.0,51.35,train,Failing,,,,73.59347797,28.65309756,25.63201124,15.0,25.17935662,10.04987562,41.0487515,27.0,21.9317122,73.59347797,14.31782106,14.86606875,67.20119047,46.86149806,20.0,35.44009029,18.02775638,39.05124838,11.66190379,14.14213562
